date,Location,Layer,Variable,Value
7/12/2013,tablas,1,Temp,13.16357143
7/12/2013,tablas,1,Sal,15310.91837
7/12/2013,tablas,1,Velu,-0.051020408
7/12/2013,tablas,1,Velv,13.29591837
7/12/2013,surigao,0,Temp,28.64039881
7/12/2013,surigao,0,Sal,14398.13095
7/12/2013,surigao,0,Velu,-279.9464286
7/12/2013,surigao,0,Velv,-61.92261905
7/12/2013,surigao,1,Temp,11.97866667
7/12/2013,surigao,1,Sal,14827.63095
7/12/2013,surigao,1,Velu,4.654761905
7/12/2013,surigao,1,Velv,-3.773809524
7/12/2013,Mindoro,0,Temp,28.95230612
7/12/2013,Mindoro,0,Sal,14102.80272
7/12/2013,Mindoro,0,Velu,-163.6598639
7/12/2013,Mindoro,0,Velv,362.7823129
7/12/2013,Mindoro,1,Temp,8.190047619
7/12/2013,Mindoro,1,Sal,14834.42857
7/12/2013,Mindoro,1,Velu,2.825396825
7/12/2013,Mindoro,1,Velv,-4.444444444
7/5/2018,Visayan,0,Temp,29.42767143
7/5/2018,Visayan,0,Sal,14326.56429
7/5/2018,Visayan,0,Velu,83.45714286
7/5/2018,Visayan,0,Velv,54.77857143
7/5/2018,southsibuyan,0,Temp,29.38545714
7/5/2018,southsibuyan,0,Sal,14436.34286
7/5/2018,southsibuyan,0,Velu,67.68571429
7/5/2018,southsibuyan,0,Velv,46.73571429
7/5/2018,southsibuyan,1,Temp,13.81237662
7/5/2018,southsibuyan,1,Sal,15567.8961
7/5/2018,southsibuyan,1,Velu,0.74025974
7/5/2018,southsibuyan,1,Velv,-1.558441558
7/5/2018,sibuyan,0,Temp,29.54422143
7/5/2018,sibuyan,0,Sal,14405.58571
7/5/2018,sibuyan,0,Velu,111.5285714
7/5/2018,sibuyan,0,Velv,48.25714286
7/5/2018,sibuyan,1,Temp,10.95692208
7/5/2018,sibuyan,1,Sal,14877.38961
7/5/2018,sibuyan,1,Velu,-0.74025974
7/5/2018,sibuyan,1,Velv,0.766233766
7/5/2018,tablas,0,Temp,29.23519286
7/5/2018,tablas,0,Sal,14284.05714
7/5/2018,tablas,0,Velu,62.15
7/5/2018,tablas,0,Velv,-70.64285714
7/5/2018,tablas,1,Temp,12.47537755
7/5/2018,tablas,1,Sal,15060.47959
7/5/2018,tablas,1,Velu,-0.653061224
7/5/2018,tablas,1,Velv,10.96938776
7/5/2018,surigao,0,Temp,29.29914881
7/5/2018,surigao,0,Sal,14203.82143
7/5/2018,surigao,0,Velu,-22.27380952
7/5/2018,surigao,0,Velv,-136.547619
7/5/2018,surigao,1,Temp,11.47014286
7/5/2018,surigao,1,Sal,14792.9881
7/5/2018,surigao,1,Velu,-4.702380952
7/5/2018,surigao,1,Velv,-2.761904762
7/5/2018,Mindoro,0,Temp,28.88157143
7/5/2018,Mindoro,0,Sal,14106.08844
7/5/2018,Mindoro,0,Velu,-13.65986395
7/5/2018,Mindoro,0,Velv,252.4489796
7/5/2018,Mindoro,1,Temp,7.632968254
7/5/2018,Mindoro,1,Sal,14746.61905
7/5/2018,Mindoro,1,Velu,4.063492063
7/5/2018,Mindoro,1,Velv,0.142857143
7/11/2013,Visayan,0,Temp,28.49932143
7/11/2013,Visayan,0,Sal,14295.37857
7/11/2013,Visayan,0,Velu,-68.8
7/11/2013,Visayan,0,Velv,102.1928571
7/11/2013,southsibuyan,0,Temp,28.78422143
7/11/2013,southsibuyan,0,Sal,14399.34286
7/11/2013,southsibuyan,0,Velu,-77.72857143
7/11/2013,southsibuyan,0,Velv,76.90714286
