"date","lab","MatarianoBayin_surface_elevation","MatarianoBayin_water_temp_0","MatarianoBayin_salinity_0","MatarianoBayin_velocity_u_0","MatarianoBayin_velocity_v_0","MatarianoBayin_pr_wtr","MatarianoBayin_precipitationCal","MatarianoBayfar_surface_elevation","MatarianoBayfar_water_temp_0","MatarianoBayfar_salinity_0","MatarianoBayfar_velocity_u_0","MatarianoBayfar_velocity_v_0","MatarianoBayfar_water_temp_100","MatarianoBayfar_salinity_100","MatarianoBayfar_velocity_u_100","MatarianoBayfar_velocity_v_100"
"2008-06-12",FALSE,982.428571428571,"14174.8571428571","8952.64285714286","-68.9642857142857","32.8571428571429",47.0750007629395,0.121366424486041,982.875,"14132","8958.80357142857","-160.410714285714","100.035714285714","14631.4821428571","7307.17857142857","109.071428571429","-198.892857142857"
"2008-06-19",FALSE,982.535714285714,"14190.2857142857","9077.39285714286","2564.5","4052.21428571429",45.978572845459,0.213336795568466,977.875,"14146.6785714286","9326.48214285714","2639.17857142857","4029.75","14720.9642857143","7275.17857142857","2187.78571428571","4018.73214285714"
"2008-06-26",FALSE,958.392857142857,"14228.4285714286","8916.25","1286.57142857143","2069.78571428571",51.0035705566406,1.44430673122406,963.785714285714,"14167.8214285714","8970.35714285714","1284.71428571429","2200.33928571429","14686.4642857143","7531.66071428571","1194.5","1933.21428571429"
"2008-07-03",FALSE,1010.03571428571,"14208.5","8862.92857142857","-77.75","19.3928571428571",49.0142860412598,0.213795531541109,1004.75,"14154.8035714286","8937.21428571429","-147.607142857143","45.4464285714286","14533.0357142857","7485.94642857143","98.8214285714286","-170.660714285714"
"2008-07-10",FALSE,987.964285714286,"14236.75","8822.25","-86.75","39.7142857142857",50.5999984741211,0.0471506267786026,986.928571428571,"14198.5892857143","8966.125","-145.964285714286","158.821428571429","14626.6071428571","7474.73214285714","86.9464285714286","-124.375"
"2008-07-17",FALSE,993.392857142857,"14311.25","9204.28571428571","11.4285714285714","-14.3571428571429",53.5928573608398,0.343617707490921,986.357142857143,"14278.5357142857","9295.125","66.4107142857143","-115.303571428571","14683.0892857143","7468.39285714286","188.428571428571","-310.589285714286"
"2008-07-24",FALSE,1023.78571428571,"14295.3214285714","9124.28571428571","-41.2857142857143","-5.42857142857143",51.1464309692383,0.177652403712273,1017.125,"14260.75","9232.33928571429","-19.5","-126.535714285714","14657.3392857143","7581.82142857143","197.446428571429","-306.803571428571"
"2008-07-31",FALSE,1008.32142857143,"14323.6071428571","9021.82142857143","-47.25","29.2857142857143",52.3071441650391,0.337360389530659,1008.21428571429,"14291.1785714286","9254.46428571429","22.2321428571429","-19.5","14530.6428571429","7628.33928571429","163.607142857143","-258.785714285714"
"2008-08-07",FALSE,993.357142857143,"14260.7142857143","8987.82142857143","-26.1071428571429","22.2142857142857",52.8821411132812,0.379583336412907,994.5,"14196.1785714286","9123.55357142857","28.1071428571429","-78.25","14570","7188.98214285714","177.071428571429","-331.392857142857"
"2008-08-14",FALSE,954.821428571429,"14125.8214285714","8897.14285714286","2.28571428571428","30.5357142857143",54.0178565979004,0.747327566146851,961.589285714286,"14128.2321428571","8973.73214285714","-76.8214285714286","314.660714285714","14621.7321428571","6140.39285714286","125.214285714286","-69.75"
