"","mindorosal","mindorotemp","sibuyantemp","sibuyansal","sibuyanvelu","sibuyanvelv","southsibuyansal","southsibuyantemp","southsibuyanvelu","southsibuyanvelv","surigaosal","surigaotemp","surigaovelu","surigaovelv","tablassal","tablastemp","tablasvelu","tablasvelv","visayansal","visayantemp","visayanvelu","visayanvelv","mindorovelu","mindorovelv"
"21",13593.713178984,27.8774538848969,26.9052209242313,14177.9368371389,-151.274703392604,-4.82141426258575,14117.3753020586,27.0730127822091,-149.045941073267,-9.76928684683101,14269.6137636939,27.534759884143,-366.32739883258,-168.227746365276,14065.6124901649,26.7595502808471,-115.467068180069,-159.213408541926,14312.1402797065,27.0479995610098,-164.984989315859,5.84223270937643,22.4065274324268,-123.441165486601
"22",13597.0538075906,27.8606379786446,26.882674225276,14180.5881262447,-151.306186710739,-4.57890450907477,14119.3730353367,27.0490795650704,-149.156939735656,-9.29068637941407,14271.075531596,27.5165591916019,-369.409373805673,-169.620763798387,14068.554004524,26.7356784597663,-115.48183985279,-158.316936796492,14314.1495989662,27.0288896681963,-165.862193924185,6.06245890339131,20.3259609376934,-121.533202068345
"23",13600.4232157566,27.8444693005363,26.8610861638559,14183.2460995572,-151.338130016363,-4.32367362197833,14121.3547213936,27.0259606270882,-149.253539978097,-8.79444797072479,14272.5363052925,27.4988888427126,-372.466912923411,-171.002309563993,14071.4923203528,26.712712601344,-115.486578072392,-157.400591550554,14316.1309475914,27.0105612591252,-166.724688700974,6.30203372901853,18.2058998415946,-119.585728699211
"24",13603.8216436663,27.8289672373991,26.8404798565569,14185.9099694617,-151.371254920073,-4.0557972317166,14123.3203658917,27.0036800959463,-149.33629874815,-8.28105090212962,14273.9955396848,27.4817631479972,-375.498679060675,-172.371425003021,14074.4265669649,26.6906771151049,-115.481722299147,-156.465424814361,14318.084289562,26.9930307403111,-167.572587001686,6.56082533773038,16.0469654285756,-117.599531234985
"25",13607.2493209874,27.8141505478221,26.8208776250922,14188.5789465959,-151.406247000853,-3.77535471584528,14125.2700061843,26.9822614447061,-149.405760581108,-7.75098572611204,14275.4526908411,27.4651960151857,-378.503331446592,-173.727162132455,14077.3558748797,26.6695956721488,-115.46769759467,-155.512482040047,14320.0096114767,26.9763139168066,-168.40598542376,6.838689323965,13.849838129184,-115.57541930463
"26",13610.7064653378,27.80003733981,26.802300970469,14191.2522400843,-151.443754778747,-3.48242917553426,14127.20371057,26.9617274648556,-149.462456764194,-7.20475371981416,14276.9072162904,27.4492009346258,-381.479526586161,-175.068584568963,14080.2793760801,26.6494911778203,-115.444913993885,-154.54280090121,14321.9069218866,26.9604259749438,-169.224963365722,7.1354688481785,11.6152572702163,-113.514225808355
"27",13614.1932807589,27.7866450491586,26.7847705480183,14193.9290577724,-151.484388741769,-3.17710741094298,14129.1215775063,26.9421002400657,-149.506904525052,-6.64286632854339,14278.3585753139,27.4337909651151,-384.425919195433,-176.39476844003,14083.1962042696,26.6303857451778,-115.413765902482,-153.557410090245,14323.7762506065,26.9453814657058,-170.029582616862,7.4509947716201,9.34402075102065,-111.416806394524
"28",13617.7099561995,27.7739904185806,26.7683061433186,14196.6086064613,-151.528720428282,-2.85947989549967,14131.0237347855,26.9234011206844,-149.539606245552,-6.06584459989262,14279.8062292355,27.418978720172,-387.341163149335,-177.704803281588,14086.1054951289,26.6123006692931,-115.374631520594,-152.557328134871,14325.6176480044,26.9311942887498,-170.819886978071,7.78508580268567,7.03698464617806,-109.284038915889
"29",13621.2566640109,27.7620894776037,26.7529266490387,14199.290092143,-151.577281565984,-2.52964074909212,14132.9103386708,26.9056506989987,-149.561048701892,-5.47421860913242,14281.2496417102,27.4047763547598,-390.223912441213,-178.997792921129,14089.0063865726,26.5952564024126,-115.327872293426,-151.54356223523,14327.43118427,26.9178776770973,-171.595901914363,8.13754865469217,4.69506273486841,-107.116822865645
"30",13624.833558457,27.7509575232675,26.7386500427313,14201.9727202353,-151.630563268571,-2.18768771017794,14134.7815729976,26.8888687852938,-149.571702331947,-4.86852687654397,14282.6882790103,27.3911955524818,-393.07282215313,-180.272856345322,14091.8980190037,26.579272530008,-115.27383238951,-150.517107122928,14329.2169486648,26.905444182512,-172.357634239597,8.50817821490308,2.31922595731913,-104.916078793841
"31",13628.4407742399,27.7406091016394,26.7254933655991,14204.6556958176,-151.689015291086,-1.83372210682249,14136.6376482381,26.8730743847381,-149.572020530768,-4.24931577736933,14284.1216103087,27.378247513259,-395.88654943597,-181.529128551149,14094.7795355692,26.5643677477458,-115.212838207235,-149.478943943354,14330.975048752,26.8939056615811,-173.105071833843,8.89675772462206,-0.0894982011794134,-102.682747704693
"32",13632.0784250438,27.7310579901747,26.7134727022628,14207.3382238664,-151.75304534489,-1.46784882667326,14138.4788005326,26.8582856751201,-149.562438975135,-3.61713894506448,14285.549107961,27.365942941507,-398.663754498358,-182.765761379629,14097.6500824136,26.5505598394035,-115.145197910263,-148.430039162587,14332.7056096108,26.8832732625158,-173.838183393818,9.30305897016029,-2.53002639812054,-100.417790435366
"33",13635.7466021005,27.7223171809387,26.7026031615512,14210.0195094907,-151.823018473097,-1.09017628587934,14140.3052906874,26.8445199854646,-149.543374977974,-2.97255666854706,14286.9702477829,27.3542920348245,-401.403101603411,-183.981924331173,14100.5088089319,26.5378656557565,-115.071200992393,-147.371343500157,14334.4087730331,26.8735574126875,-174.556918216764,9.72684248447056,-5.00122019283113,-98.122187016826
"34",13639.4453727759,27.7143988647135,26.6928988583396,14212.6987581677,-151.89925648727,-0.700816396965408,14142.1174031421,26.8317937755535,-149.51522687347,-2.31613528413751,14288.3845093261,27.343304473207,-404.103260072297,-185.176805361685,14103.3548680217,26.5263010944628,-114.991117872431,-146.30379088891,14336.084696706,26.8647678069137,-175.261206018096,10.1678577592295,-7.50188687598123,-95.7969360173506
"35",13643.1747791825,27.7073144160067,26.684372896455,14215.3751759782,-151.982037466076,-0.299884535669641,14143.9154449069,26.8201226163747,-149.47837343362,-1.64844656289773,14289.79137615,27.3329894087972,-406.762905293612,-186.349611658505,14106.1874163342,26.5158810809687,-114.905199519543,-145.228297463185,14337.7335533797,26.8569133965067,-175.950956783108,10.6258434671381,-10.0307803687238,-93.4430538693496
"36",13646.9348368176,27.7010743789807,26.6770373526712,14218.0479698419,-152.071595316531,0.112500493244653,14145.6997444708,26.8095211715227,-149.433173316959,-0.970067094075764,14291.1903360901,27.3233554561845,-409.380719737518,-187.499570395331,14109.0056145244,26.506619550458,-114.813677109569,-144.145760576463,14339.3555300233,26.8500023790994,-176.626060652989,11.1005276941986,-12.5866021905517,-91.0615741801266
