"","lon","lat","velocity_u_10","velocity_v_10","vel","date","day"
"9474",125.359897898879,9.74672083269681,-122.857142857143,-471,486.759568525386,2013-06-21,172
"9475",124.910740256819,9.83655236110876,-48.7142857142857,-11.4285714285714,50.0369251408499,2013-06-21,172
"9476",125.000571785231,9.83655236110876,-100.571428571429,-21.4285714285714,102.828964394121,2013-06-21,172
"9477",125.090403313643,9.83655236110876,-161.857142857143,-32.5714285714286,165.101885673851,2013-06-21,172
"9478",125.180234842055,9.83655236110876,-257.857142857143,-104.857142857143,278.361862564921,2013-06-21,172
"9479",125.270066370467,9.83655236110876,-337.857142857143,-165.714285714286,376.309279010481,2013-06-21,172
"9480",125.359897898879,9.83655236110876,-278.714285714286,-586.428571428571,649.292016313908,2013-06-21,172
"9481",124.910740256819,9.5670577758729,-418.25,-113.535714285714,433.385995295611,2020-08-02,215
"9482",125.000571785231,9.5670577758729,-348.732142857143,-151.178571428571,380.090867978854,2020-08-02,215
"9483",125.090403313643,9.5670577758729,-275.357142857143,-147.857142857143,312.543262311518,2020-08-02,215
"9484",125.180234842055,9.5670577758729,-182.071428571429,-126.178571428571,221.519834303378,2020-08-02,215
"9485",125.270066370467,9.5670577758729,-88.9285714285714,-81.0714285714286,120.336475546439,2020-08-02,215
"9486",125.359897898879,9.5670577758729,-23.1428571428571,-13.8392857142857,26.9651194289276,2020-08-02,215
"9487",124.910740256819,9.65688930428486,-432.267857142857,-102.428571428571,444.237675759019,2020-08-02,215
"9488",125.000571785231,9.65688930428486,-454.642857142857,-195.071428571429,494.725165921361,2020-08-02,215
"9489",125.090403313643,9.65688930428486,-425.178571428571,-231.517857142857,484.125330651125,2020-08-02,215
"9490",125.180234842055,9.65688930428486,-347.892857142857,-248.892857142857,427.758219544353,2020-08-02,215
"9491",125.270066370467,9.65688930428486,-223.25,-224.053571428571,316.291898995055,2020-08-02,215
"9492",125.359897898879,9.65688930428486,-75.4821428571429,-113.607142857143,136.396982365701,2020-08-02,215
