"","date","temp","day"
"434","2015-06-08","29.7382916666667",159
"435","2021-05-21","28.6479136904762",141
"436","2019-10-01","29.1496711309524",274
"437","2016-08-06","29.3410952380952",219
"438","2017-07-04","29.2790208333333",185
"439","2012-06-01","29.4436071428571",153
"440","2018-10-21","29.354505952381",294
"441","2018-06-21","29.0740178571429",172
"442","2017-01-04","28.1296726190476",4
"443","2016-06-16","29.8149583333333",168
"444","2021-01-22","27.99315625",22
"445","2020-06-01","29.2961473214286",153
"446","2017-10-20","28.712515625",293
"447","2018-03-29","27.9929345238095",88
"448","2017-12-04","28.5318869047619",338
"449","2019-12-08","28.6514136904762",342
"450","2017-07-10","29.3281071428571",191
"451","2014-05-22","29.2727976190476",142
"452","2018-01-15","28.2445535714286",15
"453","2019-03-06","26.5895974702381",65
"454","2012-09-27","28.6744107142857",271
"455","2014-10-12","28.804880952381",285
"456","2020-08-19","29.4155029761905",232
"457","2019-12-19","28.2152953869048",353
"458","2018-12-12","28.2416919642857",346
"459","2019-12-15","28.4856049107143",349
"460","2018-12-24","27.8099494047619",358
"461","2012-04-24","28.4301547619048",115
"462","2012-05-20","29.1696904761905",141
"463","2020-11-02","29.3004650297619",307
"464","2018-12-11","28.2723251488095",345
"465","2021-10-09","29.5237619047619",282
"466","2018-06-01","29.1122202380952",152
"467","2020-02-03","27.8063571428571",34
"468","2019-08-28","28.8744523809524",240
"469","2012-01-15","27.7765178571429",15
"470","2021-05-08","28.5714568452381",128
"471","2019-03-16","27.1647224702381",75
"472","2018-06-30","29.2950773809524",181
"473","2013-07-04","28.6984097222222",185
"474","2021-02-19","28.0486569940476",50
"475","2013-08-03","28.3107333333333",215
"476","2012-08-15","29.1432083333333",228
"477","2012-11-09","28.6722380952381",314
"478","2015-05-08","28.5823095238095",128
"479","2016-11-05","29.2784404761905",310
"480","2019-09-22","28.7036763392857",265
"481","2016-05-27","28.9301547619048",148
"482","2019-09-09","28.9815141369048",252
"483","2013-02-26","26.8264226190476",57
"484","2020-06-22","29.2313816964286",174
